label,value,level,number_of_labels
10,6.1,500,1
9,6.2,500,1
8,6.3,500,1
7,6.4,500,1
9,6.5,500,1
6,6.6,500,1
4,6.7,500,1
3,7.8,500,1
2,7.9,500,1
1,8.0,500,1
1,8.1,500,1
1,8.2,500,1
1,8.3,500,1
1,8.4,500,1
1,8.5,500,1
1,8.6,500,1
1,8.7,500,1
1,8.8,500,1
1,8.9,500,1
1,9.0,500,1
1,9.1,500,1
1,9.2,500,1
1,9.3,500,1
1,9.4,500,1
1,9.5,500,1
1,9.6,500,1
1,9.7,500,1
1,9.8,500,1
1,9.9,500,1
1,10.0,500,1
1,10.1,500,1
1,10.2,500,1
1,10.3,500,1
1,10.4,500,1
2,10.5,500,1
2,10.6,500,1
1,10.7,500,1
1,10.8,500,1
1,10.9,500,1
1,11.0,500,1
1,11.1,500,1
1,11.2,500,1
1,11.3,500,1
1,11.4,500,1
1,11.5,500,1
1,11.6,500,1
1,11.7,500,1
1,11.8,500,1
1,11.9,500,1
1,12.0,500,1
1,12.1,500,1
1,12.2,500,1
1,12.3,500,1
1,12.4,500,1
1,12.5,500,1
1,12.6,500,1
1,12.7,500,1
1,12.8,500,1
1,12.9,500,1
1,13.0,500,1
1,13.1,500,1
1,13.2,500,1
1,13.3,500,1
1,13.4,500,1
1,13.5,500,1
1,13.6,500,1
1,13.7,500,1
1,13.8,500,1
1,13.9,500,1
1,14.0,500,1
1,14.1,500,1
1,14.2,500,1
1,14.3,500,1
1,14.4,500,1
1,14.5,500,1
1,14.6,500,1
1,14.7,500,1
1,14.8,500,1
1,14.9,500,1
1,15.0,500,1
1,15.1,500,1
1,15.2,500,1
1,15.3,500,1
1,15.4,500,1
1,15.5,500,1
1,15.6,500,1
1,15.7,500,1
1,15.8,500,1
1,15.9,500,1
1,16.0,500,1
1,16.1,500,1
1,16.2,500,1
1,16.3,500,1
1,16.4,500,1
1,16.5,500,1
1,16.6,500,1
1,16.7,500,1
1,16.8,500,1
1,16.9,500,1
1,17.0,500,1
1,17.1,500,1
1,17.2,500,1
1,17.3,500,1
1,17.4,500,1
1,17.5,500,1
1,17.6,500,1
1,17.7,500,1
1,17.8,500,1
1,17.9,500,1
1,18.0,500,1
1,18.1,500,1
1,18.2,500,1
1,18.3,500,1
1,18.4,500,1
1,18.5,500,1
1,18.6,500,1
1,18.7,500,1
1,18.8,500,1
1,18.9,500,1
1,19.0,500,1
1,19.1,500,1
1,19.2,500,1
1,19.3,500,1
1,19.4,500,1
1,19.5,500,1
1,19.6,500,1
1,19.7,500,1
1,19.8,500,1
1,19.9,500,1
1,20.0,500,1
1,20.1,500,1
1,20.2,500,1
1,20.3,500,1
1,20.4,500,1
1,20.5,500,1
1,20.6,500,1
1,20.7,500,1
1,20.8,500,1
1,20.9,500,1
1,21.0,500,1
1,21.1,500,1
1,21.2,500,1
1,21.3,500,1
1,21.4,500,1
1,21.5,500,1
1,21.6,500,1
1,21.7,500,1
1,21.8,500,1
1,21.9,500,1
1,22.0,500,1
1,22.1,500,1
1,22.2,500,1
1,22.3,500,1
1,22.4,500,1
1,22.5,500,1
1,22.6,500,1
1,22.7,500,1
1,22.8,500,1
1,22.9,500,1
1,23.0,500,1
1,23.1,500,1
1,23.2,500,1
1,23.3,500,1
1,23.4,500,1
1,23.5,500,1
1,23.6,500,1
1,23.7,500,1
1,23.8,500,1
1,23.9,500,1
1,24.0,500,1
1,24.1,500,1
1,24.2,500,1
1,24.3,500,1
1,24.4,500,1
1,24.5,500,1
1,24.6,500,1
1,24.7,500,1
1,24.8,500,1
1,24.9,500,1
1,25.0,500,1
1,25.1,500,1
1,25.2,500,1
1,25.3,500,1
1,25.4,500,1
1,25.5,500,1
1,25.6,500,1
1,25.7,500,1
1,25.8,500,1
1,25.9,500,1
1,26.0,500,1
1,26.1,500,1
1,26.2,500,1
1,26.3,500,1
1,26.4,500,1
1,26.5,500,1
1,26.6,500,1
1,26.7,500,1
1,26.8,500,1
1,26.9,500,1
1,27.0,500,1
1,27.1,500,1
1,27.2,500,1
1,27.3,500,1
1,27.4,500,1
1,27.5,500,1
1,27.6,500,1
1,27.7,500,1
1,27.8,500,1
1,27.9,500,1
1,28.0,500,1
1,28.1,500,1
1,28.2,500,1
1,28.3,500,1
1,28.4,500,1
1,28.5,500,1
1,28.6,500,1
1,28.7,500,1
1,28.8,500,1
1,28.9,500,1
1,29.0,500,1
1,29.1,500,1
1,29.2,500,1
1,29.3,500,1
1,29.4,500,1
1,29.5,500,1
1,29.6,500,1
1,29.7,500,1
1,29.8,500,1
1,29.9,500,1
1,30.0,500,1
1,30.1,500,1
1,30.2,500,1
1,30.3,500,1
1,30.4,500,1
1,30.5,500,1
1,30.6,500,1
1,30.7,500,1
1,30.8,500,1
1,30.9,500,1
1,31.0,500,1
1,31.1,500,1
1,31.2,500,1
1,31.3,500,1
1,31.4,500,1
1,31.5,500,1
1,31.6,500,1
1,31.7,500,1
1,31.8,500,1
1,31.9,500,1
1,32.0,500,1
1,32.1,500,1
1,32.2,500,1
1,32.3,500,1
1,32.4,500,1
1,32.5,500,1
1,32.6,500,1
1,32.7,500,1
1,32.8,500,1
1,32.9,500,1
1,33.0,500,1
1,33.1,500,1
